axRightAxis,ayRightAxis,azRightAxis,gxRightAxis,gyRightAxis,gzRightAxis,axLeftAxis,ayLeftAxis,azLeftAxis,gxLeftAxis,gyLeftAxis,gzLeftAxis,,,,,,,,
0.001854297,0.02077886,0.015885754,100.3870495,9.163829854,11.68944774,0.003581337,0.019381728,0.034632719,117.4247039,17.02479131,11.40063429,,,,,,,,
0.001009165,0.02129936,0.025196913,201.5554497,5.121318247,11.4919137,0.00301292,0.020181733,0.036483545,174.7688902,36.58922647,24.69945336,,,,,,,,
0.00096427,0.027569382,0.024456486,194.1319907,9.563396293,11.35889395,0.003542194,0.027166604,0.028148109,193.6034339,29.34746968,19.66743756,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ax,ay,az,gx,gy,gz,,ax,ay,az,gx,gy,gz,,ax,ay,az,gx,gy,gz
0.001854297,0.02077886,0.015885754,100.3870495,9.163829854,11.68944774,,0.001009165,0.02129936,0.025196913,201.5554497,5.121318247,11.4919137,,0.00096427,0.027569382,0.024456486,194.1319907,9.563396293,11.35889395
0.003581337,0.019381728,0.034632719,117.4247039,17.02479131,11.40063429,,0.00301292,0.020181733,0.036483545,174.7688902,36.58922647,24.69945336,,0.003542194,0.027166604,0.028148109,193.6034339,29.34746968,19.66743756
63.5%,7.0%,74.2%,15.6%,60.0%,2.5%,,99.6%,5.4%,36.6%,14.2%,150.9%,73.0%,,114.4%,1.5%,14.0%,0.3%,101.7%,53.6%
0.00028784,-0.000232855,0.003124494,2.839609067,1.310160243,-0.048135575,,0.000333959,-0.000186271,0.001881105,-4.464426583,5.244651371,2.20125661,,0.000429654,-6.71297E-05,0.000615271,-0.0880928,3.297345565,1.384757268
