axRightAxis,ayRightAxis,azRightAxis,gxRightAxis,gyRightAxis,gzRightAxis,axLeftAxis,ayLeftAxis,azLeftAxis,gxLeftAxis,gyLeftAxis,gzLeftAxis,,,
0.074975504,0.152639551,0.2140062,1638.025459,4411.957302,1698.182897,0.056049585,0.164317325,0.178226103,2574.201578,3780.926061,1285.687185,,SET 1,curls0 (v2)
0.074003751,0.123470746,0.221629305,1590.71651,4545.067116,1583.068245,0.060849463,0.166999668,0.203497623,3305.309227,4407.885355,1162.203702,,SET 2,curls1 (v2)
0.115743681,0.319925498,0.290598982,1841.947148,4331.833769,2288.213538,0.08261891,0.342827925,0.226830013,1059.277303,2921.313807,2792.248853,,SET 3,curls1 (v3)
0.146914016,0.33059357,0.30724294,2696.339401,4729.982557,1893.854275,0.088375295,0.354256575,0.245069891,1732.850579,3275.339721,2103.94229,,SET 4,curls2 (v3)
0.121300303,0.368368239,0.328959347,2534.808167,5092.279753,1762.665269,0.094754317,0.336055662,0.280224076,1888.677701,3725.113454,1839.629859,,SET 5,curls3 (v3)
0.106587451,0.258999521,0.272487355,2060.367337,4622.224099,1845.196845,0.076529514,0.272891431,0.226769541,2112.063278,3622.11568,1836.742378,,AVERAGE,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0.074003751,0.123470746,0.2140062,1590.71651,4331.833769,1583.068245,0.056049585,0.164317325,0.178226103,1059.277303,2921.313807,1162.203702,,LOW,
0.146914016,0.368368239,0.328959347,2696.339401,5092.279753,2288.213538,0.094754317,0.354256575,0.280224076,3305.309227,4407.885355,2792.248853,,HIGH,
